Continent,Country,State,City
,,,
North America,United States,California,Los Angeles
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,California,San Francisco
,,,
North America,United States,California,San Francisco
,,,
North America,United States,California,San Francisco
,,,
North America,United States,New Jersey,New Brunswick
,,,
North America,United States,New York,New York City
,,,
North America,United States,New Jersey,Princeton
,,,
North America,United States,New Jersey,Princeton
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,New York,New York City
,,,
North America,United States,Kansas,Smith Center
,,,
Europe,Germany,Thuringia,Grossbodungen
,,,
North America,United States,New York,New York City
,,,
North America,United States,Pennsylvania,Philadelphia
,,,
North America,United States,New Mexico,El Rancho
,,,
North America,United States,Alaska,Healy
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Alaska,Healy
,,,
North America,United States,New Mexico,Santa Clara
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Kansas,Smith Center
,,,
North America,Mexico,Guerrero,Mezcala
,,,
North America,United States,New York,New York City
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
Asia,India,Uttar Pradesh,Vrindavan
,,,
North America,United States,New York,Manhattan
,,,
North America,United States,New York,New York City
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,New York,New York City
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,Wisconsin,Boscobel
,,,
North America,United States,New York,New York City
,,,
North America,United States,New Mexico,Santo Domingo Pueblo
,,,
North America,United States,New Mexico,Skyline-Ganipa
,,,
North America,United States,New Mexico,Skyline-Ganipa
,,,
North America,United States,New Mexico,Skyline-Ganipa
,,,
North America,United States,Kansas,Smith Center
,,,
North America,United States,California,El Centro
,,,
North America,United States,Kansas,Smith Center
,,,
Asia,Indonesia,South Sulawesi,Palattae
,,,
Asia,Indonesia,South Sulawesi,Palattae
,,,
South America,Venezuela,Bolivar,Maripa
,,,
North America,United States,New York,New York City
,,,
North America,United States,California,San Francisco
