ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp,lat,lon,name,admin1,admin2,cc
,,,,,,,,,,,,,,,,,,,,,,,,,
43410,51624,Place made,1,North America,,United States,,California,Los Angeles,,,,,,,34.05223,-118.24368,http://www.geonames.org/5368361/los-angeles.html,AAAAADpPaes=,34.05223,-118.24368,Los Angeles,California,Los Angeles County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
39822,51638,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPafg=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42507,51680,Place made,1,North America,,United States,,California,San Francisco,,,,,,,37.77493,-122.41942,http://www.geonames.org/5391959/san-francisco.html,AAAAADpPagk=,37.77493,-122.41942,San Francisco,California,San Francisco County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
43008,51681,Place made,1,North America,,United States,,California,San Francisco,,,,,,,37.77493,-122.41942,http://www.geonames.org/5391959/san-francisco.html,AAAAADpPago=,37.77493,-122.41942,San Francisco,California,San Francisco County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
43007,51682,Place made,1,North America,,United States,,California,San Francisco,,,,,,,37.77493,-122.41942,http://www.geonames.org/5391959/san-francisco.html,AAAAADpPags=,37.77493,-122.41942,San Francisco,California,San Francisco County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
48088,52855,Place made,1,North America,,United States,,New Jersey,New Brunswick,,,,,,,40.48622,-74.45182,http://www.geonames.org/5101717/new-brunswick.html,AAAAADpPaj8=,40.48622,-74.45182,New Brunswick,New Jersey,Middlesex County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42905,52864,Place made,1,North America,,United States,,New York,New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPakM=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42518,52882,Place made,1,North America,,United States,,New Jersey,Princeton,,,,,,,40.34872,-74.65905,http://www.geonames.org/5102922/princeton.html,AAAAADpPak0=,40.34872,-74.65905,Princeton,New Jersey,Mercer County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42517,52883,Place made,1,North America,,United States,,New Jersey,Princeton,,,,,,,40.34872,-74.65905,http://www.geonames.org/5102922/princeton.html,AAAAADpPak4=,40.34872,-74.65905,Princeton,New Jersey,Mercer County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
45652,52939,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPak8=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
45651,52953,Place made,1,North America,,United States,,New York,possibly New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAAD6tfuo=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
43076,52958,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPalY=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42674,52964,Place made,1,Europe,,Germany,,,,,,,,,,51.5,10.5,www.geonames.org/2921044/federal-republic-of-germany.html,AAAAADpPalg=,51.47572,10.48104,Grossbodungen,Thuringia,,DE
,,,,,,,,,,,,,,,,,,,,,,,,,
42673,52965,Place made,1,North America,,United States,,New York,New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPalk=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42652,53018,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPal4=,39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
950,53887,Place made,1,North America,American southwest,United States,Rio Grande,New Mexico,San Ildefonso Pueblo,,,,,,,35.89197,-106.11836,http://www.geonames.org/5489602/san-ildefonso-pueblo.html,AAAAADpPan8=,35.88919,-106.07975,El Rancho,New Mexico,Santa Fe County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
3513,54011,Place made,1,North America,Arctic,United States,,Alaska,,,,,,,,64.00028,-150.00028,http://www.geonames.org/5879092/alaska.html,AAAAADybdeE=,63.85694,-148.96611,Healy,Alaska,Denali Borough,US
,,,,,,,,,,,,,,,,,,,,,,,,,
43640,54118,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaoo=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
6631,54459,Place made,1,North America,Northwest coast,United States,,Alaska,,,,,,,,64.00028,-150.00028,http://www.geonames.org/5879092/alaska.html,AAAAAD3BMfI=,63.85694,-148.96611,Healy,Alaska,Denali Borough,US
,,,,,,,,,,,,,,,,,,,,,,,,,
962,54482,Place made,1,North America,American southwest,United States,Mimbres valley,New Mexico,,,,,,,,32.95063,-108.01587,http://www.geonames.org/5479548/mimbres-canyon.html,AAAAADpPapo=,32.77952,-108.15032,Santa Clara,New Mexico,Grant County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40800,54821,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPap0=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40841,54877,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpParI=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
690,54926,Place made,1,North America,Mesoamerica,Mexico,Central Mexico,Guerrero,,,,,,Xochipala,,17.8118,-99.63977,http://www.geonames.org/3514444/xochipala.html,AAAAAEJa2Hg=,17.9324,-99.60257,Mezcala,Guerrero,,MX
,,,,,,,,,,,,,,,,,,,,,,,,,
42565,54950,Place made,1,North America,,United States,,New York,New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPasw=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
41116,54960,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sFDU=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
41118,54966,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sFEs=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
41119,54967,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sFFY=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
41120,54968,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sFGE=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
41121,54973,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sFHE=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
41122,54974,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sFHw=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
41123,54976,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sFIc=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
41124,54977,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sKA0=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
41125,54979,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sT/0=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
41126,54982,Place made,1,Asia,,India,,Uttar Pradesh,Vrindavan,,,,,,,27.58105,77.69662,http://www.geonames.org/1253079/vrindavan.html,AAAAAD8sUAk=,27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
,,,,,,,,,,,,,,,,,,,,,,,,,
40168,55142,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,The Museum of Modern Art,,40.76121,-73.97708,http://www.geonames.org/5128211/museum-of-modern-art.html,AAAAADpPauQ=,40.78343,-73.96625,Manhattan,New York,New York County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40169,55143,Place made,1,North America,,United States,,New York,New York,,,,,Club Cornich,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPauU=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40170,55144,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPauY=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40516,55145,Place made,1,North America,,United States,,New York,New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPauc=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
38453,55148,Place collected,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPauk=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40767,55151,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaus=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
41113,55152,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPauw=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
41114,55153,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPau0=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
