ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp
540,51636,Place made,1,North America,American southwest,United States,Rio Grande,New Mexico,San Ildefonso Pueblo,,,,,,,,,http://www.geonames.org/5489602/san-ildefonso-pueblo.html,AAAAAEBHGHI=
540,51636,Place made,1,North America,American southwest,United States,Rio Grande,New Mexico,San Ildefonso Pueblo,,,,,,,,,http://www.geonames.org/5489602/san-ildefonso-pueblo.html,AAAAAEBHGHI=
541,51637,Place made,1,North America,American southwest,United States,Rio Grande,New Mexico,San Ildefonso Pueblo,,,,,,,,,http://www.geonames.org/5489602/san-ildefonso-pueblo.html,AAAAAEBHGIM=
541,51637,Place made,1,North America,American southwest,United States,Rio Grande,New Mexico,San Ildefonso Pueblo,,,,,,,,,http://www.geonames.org/5489602/san-ildefonso-pueblo.html,AAAAAEBHGIM=
47747,52959,Place made,1,North America,,United States,,New Jersey,Hamilton Township,,,,,Seward Johnson Atelier,,NULL,,http://www.geonames.org/maps/google_39.493_-74.743.html,AAAAADpPalc=
6496,54010,Place made,1,North America,Northwest coast,United States,,Alaska,missing,,,,,,,,,http://www.geonames.org/5879092/alaska.html,AAAAAD94rLA=
6496,54010,Place made,1,North America,Northwest coast,United States,,Alaska,missing,,,,,,,,,http://www.geonames.org/5879092/alaska.html,AAAAAD94rLA=
957,54444,Place made,1,North America,American southwest,United States,Colorado Plateau,New Mexico,Acoma Pueblo,,,,,,,,,http://www.geonames.org/5454217/acoma-pueblo.html,AAAAAEBHF8o=
957,54444,Place made,1,North America,American southwest,United States,Colorado Plateau,New Mexico,Acoma Pueblo,,,,,,,,,http://www.geonames.org/5454217/acoma-pueblo.html,AAAAAEBHF8o=
2587,54445,Place made,1,North America,American West,United States,,California,missing,,,,,Yosemite,,,,http://www.geonames.org/5410952/yosemite-national-park.html,AAAAAD/Onik=
