lat,lon,name,admin1,admin2,cc
34.05223,-118.24368,Los Angeles,California,Los Angeles County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
37.77493,-122.41942,San Francisco,California,San Francisco County,US
37.77493,-122.41942,San Francisco,California,San Francisco County,US
37.77493,-122.41942,San Francisco,California,San Francisco County,US
40.48622,-74.45182,New Brunswick,New Jersey,Middlesex County,US
40.71427,-74.00597,New York City,New York,,US
40.34872,-74.65905,Princeton,New Jersey,Mercer County,US
40.34872,-74.65905,Princeton,New Jersey,Mercer County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
40.71427,-74.00597,New York City,New York,,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
51.47572,10.48104,Grossbodungen,Thuringia,,DE
40.71427,-74.00597,New York City,New York,,US
39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
35.88919,-106.07975,El Rancho,New Mexico,Santa Fe County,US
63.85694,-148.96611,Healy,Alaska,Denali Borough,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
63.85694,-148.96611,Healy,Alaska,Denali Borough,US
32.77952,-108.15032,Santa Clara,New Mexico,Grant County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
17.9324,-99.60257,Mezcala,Guerrero,,MX
40.71427,-74.00597,New York City,New York,,US
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
27.57823,77.69806,Vrindavan,Uttar Pradesh,Mathura,IN
40.78343,-73.96625,Manhattan,New York,New York County,US
40.71427,-74.00597,New York City,New York,,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
40.71427,-74.00597,New York City,New York,,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
43.13443,-90.7054,Boscobel,Wisconsin,Grant County,US
40.71427,-74.00597,New York City,New York,,US
35.51476,-106.36586,Santo Domingo Pueblo,New Mexico,Sandoval County,US
35.03279,-107.61396,Skyline-Ganipa,New Mexico,Cibola County,US
35.03279,-107.61396,Skyline-Ganipa,New Mexico,Cibola County,US
35.03279,-107.61396,Skyline-Ganipa,New Mexico,Cibola County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
32.792,-115.56305,El Centro,California,Imperial County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
-4.9711,120.1127,Palattae,South Sulawesi,,ID
-4.9711,120.1127,Palattae,South Sulawesi,,ID
7.41537,-65.18961,Maripa,Bolivar,Municipio Sucre,VE
40.71427,-74.00597,New York City,New York,,US
37.77493,-122.41942,San Francisco,California,San Francisco County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
37.76521,-122.24164,Alameda,California,Alameda County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
40.78343,-73.96625,Manhattan,New York,New York County,US
39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.52963,-119.8138,Reno,Nevada,Washoe County,US
47.36667,8.55,Zurich,Zurich,Bezirk Zuerich,CH
4.88447,-1.75536,Takoradi,Western,,GH
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX
34.94931,104.72584,Santai Zhen,Gansu Sheng,,CN
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
37.77493,-122.41942,San Francisco,California,San Francisco County,US
45.307,-69.03337,Brownville,Maine,Piscataquis County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
16.99488,-96.47112,Santa Ana del Valle,Oaxaca,,MX
40.34872,-74.65905,Princeton,New Jersey,Mercer County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
39.77918,-98.78507,Smith Center,Kansas,Smith County,US
