,ObjectID,Term,ThesXrefType,LatitudeNumber,LongitudeNumber,Continent,Country,State,City
298,30410,Central Mexico,Place found,23,-102,North America,Mexico,missing,missing
300,30411,Central Mexico,Place found,23,-102,North America,Mexico,missing,missing
6220,33980,Central Mexico,Place found,23,-102,North America,Mexico,missing,missing
6222,33981,Central Mexico,Place found,23,-102,North America,Mexico,missing,missing
6227,33984,Central Mexico,Place found,23,-102,North America,Mexico,missing,missing
6264,34003,Central Mexico,Place found,23,-102,North America,Mexico,missing,missing
563,30583,East of Rockies,Place found,missing,missing,North America,missing,missing,missing
577,30591,East of Rockies,Place found,missing,missing,North America,missing,missing,missing
578,30592,East of Rockies,Place found,missing,missing,North America,missing,missing,missing
608,30607,East of Rockies,Place found,missing,missing,North America,missing,missing,missing
625,30615,East of Rockies,Place found,missing,missing,North America,missing,missing,missing
635,30619,East of Rockies,Place found,missing,missing,North America,missing,missing,missing
6952,34484,East of Rockies,Place found,missing,missing,North America,missing,missing,missing
572,30588,East Pennsylvania,Place found,missing,missing,North America,United States,Pennsylvania,missing
7336,37431,Eastern Oklahoma,Place found,missing,missing,North America,United States,Oklahoma,missing
6226,33983,Jaina Island,Place found,missing,missing,North America,Mexico,missing,missing
4293,32733,Laguna Pueblo,Place found,missing,missing,North America,United States,New Mexico,missing
4296,32743,Laguna Pueblo,Place found,missing,missing,North America,United States,New Mexico,missing
4304,32758,Laguna Pueblo,Place found,missing,missing,North America,United States,New Mexico,missing
2654,31783,Mesa Verde National Park,Place found,missing,missing,North America,United States,Colorado,Colorado
