lat,lon,name,admin1,admin2,cc,Country,Continent
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.03,-79.905,Cerro Cama,Panama,,PA,Panama,North America
,,,,,,,
9.96745,-84.01326,Ipis,San Jose,,CR,Costa Rica,North America
,,,,,,,
9.96745,-84.01326,Ipis,San Jose,,CR,Costa Rica,North America
,,,,,,,
9.96745,-84.01326,Ipis,San Jose,,CR,Costa Rica,North America
,,,,,,,
9.96745,-84.01326,Ipis,San Jose,,CR,Costa Rica,North America
,,,,,,,
12.64881,54.01895,Hadibu,Muhafazat Hadramawt,,YE,Yemen,Asia
,,,,,,,
12.78331,122.04851,Corcuera,Mimaropa,Province of Romblon,PH,Philippines,Asia
,,,,,,,
15.48333,-90.26667,San Pedro Carcha,Alta Verapaz,,GT,Guatemala,North America
,,,,,,,
19.71389,-88.86167,Kancabchen,Quintana Roo,Jose Maria Morelos,MX,Mexico,North America
,,,,,,,
19.71389,-88.86167,Kancabchen,Quintana Roo,Jose Maria Morelos,MX,Mexico,North America
,,,,,,,
19.71389,-88.86167,Kancabchen,Quintana Roo,Jose Maria Morelos,MX,Mexico,North America
,,,,,,,
19.71389,-88.86167,Kancabchen,Quintana Roo,Jose Maria Morelos,MX,Mexico,North America
,,,,,,,
19.71389,-88.86167,Kancabchen,Quintana Roo,Jose Maria Morelos,MX,Mexico,North America
,,,,,,,
19.71389,-88.86167,Kancabchen,Quintana Roo,Jose Maria Morelos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
22.96139,-102.05556,Los Zacatones,San Luis Potosi,Villa de Ramos,MX,Mexico,North America
,,,,,,,
