ObjectID,Term,ThesXrefType,LatitudeNumber,LongitudeNumber
1960,México,Place found,23,-102
1960,Mesoamerica,Cultural Area,,
1967,México,Place found,23,-102
1967,Mesoamerica,Cultural Area,,
14721,México,Place found,23,-102
14721,Nayarit,Place found,22,-105
14721,Mesoamerica,Cultural Area,,
17252,Oklahoma,Place found,35,-98
17252,Muskogee,Place found,35.73,-95.37
17252,Hughes Mound,Place found,,
17443,Ohio,Place found,40,-80.83
17443,Oklahoma,Place found,35,-98
17443,Arkansas,Place found,35,-93
17443,Kansas,Place found,38.67,-98
17465,Plains,Cultural Area,,
17478,United States of America,Place found,38,-98
17478,Great Plains,Place found,39.42,-101.28
22539,United States of America,Place found,38,-98
22539,Great Plains,Place found,39.42,-101.28
22753,United States of America,Place found,38,-98
22753,Great Plains,Place found,39.42,-101.28
22945,United States of America,Place found,38,-98
22945,Southern Plains,Place found,,
23498,United States of America,Place found,38,-98
23498,Great Plains,Place found,39.42,-101.28
23498,Montana,Place found,47,-110
23504,United States of America,Place found,38,-98
23504,Great Plains,Place found,39.42,-101.28
24285,Philippines,Place found,13,122
24285,Iloilo,Place found,11,122.67
24285,Iloilo,Place found,11,122.67
24647,Oklahoma,Place found,35,-98
24647,Le Flore,Place found,34.9,-94.73
30184,Fort Sill,Place,,
30203,Michigan,Place found,44,-85
30203,Isabella,Place found,43.65,-84.85
30203,Northeast,Cultural Area,,
30204,Arkansas,Place found,35,-93
30204,Southeast,Cultural Area,,
30205,Arkansas,Place found,35,-93
30205,De Ann,Place found,33.77,-93.55
30205,Alaska,Place found,65,-153
30206,Arkansas,Place found,35,-93
30206,Southeast,Cultural Area,,
30207,Arkansas,Place found,35,-93
30207,Southeast,Cultural Area,,
30209,Ouachita River,Place found,34.68,-94.32
30209,Red River,Place found,34.57,-99.95
30209,Arkansas,Place found,35,-93
30209,Nevada,Place found,33.65,-93.33
30209,Alaska,Place found,65,-153
30210,Arkansas,Place found,35,-93
30210,Southeast,Cultural Area,,
30211,Arkansas,Place found,35,-93
30211,Southeast,Cultural Area,,
30214,Arkansas,Place found,35,-93
30214,Southeast,Cultural Area,,
30215,Arkansas,Place found,35,-93
30215,Southeast,Cultural Area,,
30217,Ouachita River,Place found,34.68,-94.32
30217,Red River,Place found,34.57,-99.95
30217,Arkansas,Place found,35,-93
30217,Howard,Place found,34.1,-94.16
30217,Alaska,Place found,65,-153
30218,Arkansas,Place found,35,-93
30218,Southeast,Cultural Area,,
30219,Arkansas,Place found,35,-93
30219,Southeast,Cultural Area,,
30220,Ouachita River,Place found,34.68,-94.32
30220,Red River,Place found,34.57,-99.95
30220,Arkansas,Place found,35,-93
30220,Howard,Place found,34.1,-94.16
30220,Alaska,Place found,65,-153
30222,Arkansas,Place found,35,-93
30222,Southeast,Cultural Area,,
30223,Arkansas,Place found,35,-93
30223,Southeast,Cultural Area,,
30225,Ouachita River,Place found,34.68,-94.32
30225,Red River,Place found,34.57,-99.95
30225,Arkansas,Place found,35,-93
30225,Nevada,Place found,33.65,-93.33
30225,Alaska,Place found,65,-153
30226,Arkansas,Place found,35,-93
30226,Southeast,Cultural Area,,
30227,Arkansas,Place found,35,-93
30227,Southeast,Cultural Area,,
30228,Ouachita River,Place found,34.68,-94.32
30228,Red River,Place found,34.57,-99.95
30228,Arkansas,Place found,35,-93
30228,Howard,Place found,34.1,-94.16
30228,Alaska,Place found,65,-153
30230,Arkansas,Place found,35,-93
30230,Southeast,Cultural Area,,
30231,Arkansas,Place found,35,-93
30231,Southeast,Cultural Area,,
30233,Missouri,Place found,38,-98
30233,Saint Louis,Place found,38.63,-90.4
30234,Arkansas,Place found,35,-93
30234,Southeast,Cultural Area,,
30238,Indiana,Place found,40,-86
30238,Noble,Place found,41.38,-85.42
30244,Arkansas,Place found,35,-93
30244,Garland,Place found,34.57,-93.15
30244,Alaska,Place found,65,-153
30244,Ouachita River Basin,Place found,,
30246,Michigan,Place found,44,-85
30246,Ingham,Place found,42.6,-84.38
30246,Northeast,Cultural Area,,
30248,Arkansas,Place found,35,-93
30248,Hope,Place found,33.67,-93.58
30248,Alaska,Place found,65,-153
30249,United States of America,Place found,38,-98
30249,Great Plains,Place found,39.42,-101.28
30249,Plains,Cultural Area,,
30250,Ohio,Place found,40,-80.83
30250,Seneca,Place found,41.12,-83.12
30250,Northeast,Cultural Area,,
30251,United States of America,Place found,38,-98
30251,Great Plains,Place found,39.42,-101.28
30251,Plains,Cultural Area,,
30252,United States of America,Place found,38,-98
30252,Great Plains,Place found,39.42,-101.28
30252,Plains,Cultural Area,,
30253,United States of America,Place found,38,-98
30253,Great Plains,Place found,39.42,-101.28
30253,Plains,Cultural Area,,
30254,Kentucky,Place found,37,-85
30254,Ballard,Place found,37.5,-89
30254,Northeast,Cultural Area,,
30255,Plains,Cultural Area,,
30258,United States of America,Place found,38,-98
30258,Great Plains,Place found,39.42,-101.28
30258,Plains,Cultural Area,,
30259,Michigan,Place found,44,-85
30259,Genesee,Place found,43.33,-83.68
30259,Northeast,Cultural Area,,
30260,Plains,Cultural Area,,
30261,Southwest,Cultural Area,,
30262,United States of America,Place found,38,-98
30262,Great Plains,Place found,39.42,-101.28
30262,Plains,Cultural Area,,
30263,United States of America,Place found,38,-98
30263,Great Plains,Place found,39.42,-101.28
30263,Plains,Cultural Area,,
30264,Plains,Cultural Area,,
30266,United States of America,Place found,38,-98
30266,Great Plains,Place found,39,-101
30266,Plains,Cultural Area,,
30267,United States of America,Place found,38,-98
30267,Great Plains,Place found,39.42,-101.28
30267,Plains,Cultural Area,,
30268,United States of America,Place found,38,-98
30268,Great Plains,Place found,39.42,-101.28
30268,Plains,Cultural Area,,
30269,United States of America,Place found,38,-98
30269,Great Plains,Place found,39.42,-101.28
30269,Plains,Cultural Area,,
30270,Plains,Cultural Area,,
30272,United States of America,Place found,38,-98
30272,Great Plains,Place found,39.42,-101.28
30272,Plains,Cultural Area,,
30273,United States of America,Place found,38,-98
30273,Great Plains,Place found,39,-101
30273,Plains,Cultural Area,,
30273,Northern Plains,Place found,,
30274,Northeast,Cultural Area,,
30276,United States of America,Place found,38,-98
30276,Great Plains,Place found,39.42,-101.28
30276,Plains,Cultural Area,,
30277,United States of America,Place found,38,-98
30277,Great Plains,Place found,39.42,-101.28
30277,Oklahoma,Place found,35,-98
30277,Oklahoma,Place found,35,-98
30277,Plains,Cultural Area,,
30279,Saint Lawrence Island,Place found,63.5,-170.43
30279,Arctic,Cultural Area,,
30281,United States of America,Place found,38,-98
30281,Great Plains,Place found,39.42,-101.28
30281,Plains,Cultural Area,,
30282,Saint Lawrence Island,Place found,63.5,-170.43
30282,Arctic,Cultural Area,,
30283,Saint Lawrence Island,Place found,63.5,-170.43
30283,Arctic,Cultural Area,,
30284,Plains,Cultural Area,,
30285,Arctic,Cultural Area,,
30286,Alaska,Place found,65,-153
30286,Arctic,Cultural Area,,
30287,Plateau,Cultural Area,,
30288,Arkansas,Place found,35,-93
30288,Southeast,Cultural Area,,
30289,Saint Lawrence Island,Place found,63.5,-170.43
30289,Arctic,Cultural Area,,
30290,Alaska,Place found,65,-153
30290,Arctic,Cultural Area,,
30290,Southwest Alaska,Place found,,
30291,Arkansas,Place found,35,-93
30291,Southeast,Cultural Area,,
30292,Arkansas,Place found,35,-93
30292,Southeast,Cultural Area,,
30293,Alaska,Place found,65,-153
30293,Arctic,Cultural Area,,
30293,Southwest Alaska,Place found,,
30295,Arkansas,Place found,35,-93
30295,Southeast,Cultural Area,,
30296,Arkansas,Place found,35,-93
30296,Southeast,Cultural Area,,
30297,United States of America,Place found,38,-98
30297,Great Plains,Place found,39.42,-101.28
30297,Plains,Cultural Area,,
30298,Saint Lawrence Island,Place found,63.5,-170.43
30298,Arctic,Cultural Area,,
30299,Arkansas,Place found,35,-93
30299,Southeast,Cultural Area,,
30300,Arkansas,Place found,35,-93
30300,Southeast,Cultural Area,,
30301,Alaska,Place found,65,-153
30301,Arctic,Cultural Area,,
30302,Alaska,Place found,65,-153
30302,Saint Lawrence Island,Place found,63.5,-170.43
30302,Arctic,Cultural Area,,
30303,Arkansas,Place found,35,-93
30303,Southeast,Cultural Area,,
30304,Arkansas,Place found,35,-93
30304,Southeast,Cultural Area,,
30305,Alaska,Place found,65,-153
30305,Saint Lawrence Island,Place found,63.5,-170.43
30305,Arctic,Cultural Area,,
30306,Alaska,Place found,65,-153
30306,Saint Lawrence Island,Place found,63.5,-170.43
30306,Arctic,Cultural Area,,
30307,Arkansas,Place found,35,-93
30307,Southeast,Cultural Area,,
30308,Arkansas,Place found,35,-93
30308,Southeast,Cultural Area,,
30309,Alaska,Place found,65,-153
30309,Saint Lawrence Island,Place found,63.5,-170.43
30309,Arctic,Cultural Area,,
30310,Alaska,Place found,65,-153
30310,Saint Lawrence Island,Place found,63.5,-170.43
30310,Arctic,Cultural Area,,
30311,Arkansas,Place found,35,-93
30311,Southeast,Cultural Area,,
30312,Arkansas,Place found,35,-93
30312,Southeast,Cultural Area,,
30314,Alaska,Place found,65,-153
30314,Nome,Place found,64.5,-165.4
30314,Arctic,Cultural Area,,
30315,Arkansas,Place found,35,-93
30315,Southeast,Cultural Area,,
30316,Illinois,Place found,40,-89
30316,Fulton,Place found,40.47,-90.18
30316,Northeast,Cultural Area,,
30317,Alaska,Place found,65,-153
30317,Yukon,Place found,62.53,-163.98
30317,Arctic,Cultural Area,,
30317,Yukon Region,Place found,,
30318,Alaska,Place found,65,-153
30318,Saint Michael,Place found,63.47,-162.33
30318,Arctic,Cultural Area,,
30320,Ohio,Place found,40,-80.83
30320,Northeast,Cultural Area,,
30321,Arctic,Cultural Area,,
30322,Alaska,Place found,65,-153
30322,Hooper Bay,Place found,61.48,-165.93
30322,Arctic,Cultural Area,,
30323,Illinois,Place found,40,-89
30323,Fulton,Place found,40.47,-90.18
30323,Northeast,Cultural Area,,
30325,Cape Prince of Wales,Place found,65.58,-168.83
30325,Arctic,Cultural Area,,
30326,Alaska,Place found,65,-153
30326,Point Hope,Place found,68.33,-166.8
30326,Arctic,Cultural Area,,
30329,Kotzebue Sound,Place found,66.53,-162.73
30329,Arctic,Cultural Area,,
30330,Alaska,Place found,65,-153
30330,Nome,Place found,64.5,-165.4
30330,Arctic,Cultural Area,,
30331,Illinois,Place found,40,-89
30331,Calhoun,Place found,39.17,-90.65
30331,Gilead,Place found,39.12,-90.67
30331,Northeast,Cultural Area,,
30331,Northeast,Cultural Area,,
30332,Illinois,Place found,40,-89
30332,Knox,Place found,40.93,-90.2
30332,Northeast,Cultural Area,,
30333,Saint Lawrence Island,Place found,63.5,-170.43
30333,Arctic,Cultural Area,,
30334,Alaska,Place found,65,-153
30334,King Island,Place found,64.98,-168.5
30334,Arctic,Cultural Area,,
30335,Illinois,Place found,40,-89
30335,Stark,Place found,41.1,-89.8
30335,Northeast,Cultural Area,,
30337,Alaska,Place found,65,-153
30337,Nome,Place found,64.5,-165.4
30337,Arctic,Cultural Area,,
30338,Kotzebue Sound,Place found,66.53,-162.73
30338,Arctic,Cultural Area,,
30343,Illinois,Place found,40,-89
30343,Jackson,Place found,37.77,-89.35
30343,Northeast,Cultural Area,,
30346,Ohio,Place found,40,-80.83
30346,Mount Pleasant,Place found,40.83,-84.7
30346,Northeast,Cultural Area,,
30347,Illinois,Place found,40,-89
30347,Jersey,Place found,39.66,-90.35
30347,Northeast,Cultural Area,,
30348,Ohio,Place found,40,-80.83
30348,Northeast,Cultural Area,,
30350,Ohio,Place found,40,-80.83
30350,Mount Pleasant,Place found,40.83,-84.7
30350,Northeast,Cultural Area,,
30351,Tennessee,Place found,35.5,-85
30351,Trousdale,Place found,36.38,-86.17
30351,Southeast,Cultural Area,,
30356,Ohio,Place found,40,-80.83
30356,Northeast,Cultural Area,,
30357,Arctic,Cultural Area,,
30358,Arctic,Cultural Area,,
30359,Oklahoma,Place found,35,-98
30359,Le Flore,Place found,34.9,-94.73
30359,Southeast,Cultural Area,,
30360,Southeast,Cultural Area,,
30361,Arctic,Cultural Area,,
30362,United States of America,Place found,38,-98
30362,Alaska,Place found,65,-153
30362,Cape Deceit,Place found,66.83,-162.73
30362,Arctic,Cultural Area,,
30363,Leflore county,Place found,33.52,-90.22
30363,Oklahoma,Place found,35,-98
30363,Le Flore,Place found,34.9,-94.73
30363,Spiro,Place found,35.23,-94.62
30363,Southeast,Cultural Area,,
30363,Spiro Mounds,Place found,,
30363,Craig Mound,Place found,,
30364,Leflore county,Place found,33.52,-90.22
30364,Oklahoma,Place found,35,-98
30364,Le Flore,Place found,34.9,-94.73
30364,Spiro,Place found,35.23,-94.62
30364,Southeast,Cultural Area,,
30364,Spiro Mounds,Place found,,
30364,Craig Mound,Place found,,
30365,Arctic,Cultural Area,,
30366,Leflore county,Place found,33.52,-90.22
30366,Oklahoma,Place found,35,-98
30366,Le Flore,Place found,34.9,-94.73
30366,Spiro,Place found,35.23,-94.62
30366,Southeast,Cultural Area,,
30366,Spiro Mounds,Place found,,
30366,Craig Mound,Place found,,
30367,Southeast,Cultural Area,,
30368,Arctic,Cultural Area,,
30369,Arctic,Cultural Area,,
30370,Southeast,Cultural Area,,
30371,Southeast,Cultural Area,,
30372,Arctic,Cultural Area,,
30373,Arctic,Cultural Area,,
30374,Southeast,Cultural Area,,
30375,Leflore county,Place found,33.52,-90.22
30375,Oklahoma,Place found,35,-98
30375,Le Flore,Place found,34.9,-94.73
30375,Spiro,Place found,35.23,-94.62
30375,Southeast,Cultural Area,,
30375,Spiro Mounds,Place found,,
30375,Craig Mound,Place found,,
30376,Arctic,Cultural Area,,
30377,Anderson River,Place found,38.3,-86.6
30377,Arctic,Cultural Area,,
30378,Oklahoma,Place found,35,-98
30378,Le Flore,Place found,34.9,-94.73
30378,Spiro,Place found,35.23,-94.62
30378,Southeast,Cultural Area,,
30378,Southeast,Cultural Area,,
30379,Oklahoma,Place found,35,-98
30379,Le Flore,Place found,34.9,-94.73
30379,Spiro,Place found,35.23,-94.62
30379,Southeast,Cultural Area,,
30379,Southeast,Cultural Area,,
30380,Alaska,Place found,65,-153
30380,Arctic,Cultural Area,,
30381,Alaska,Place found,65,-153
30381,Teller,Place found,65.25,-166.35
30381,Arctic,Cultural Area,,
