,ConstituentID,City,County,State,Country,Continent
724,394,Harat,,Herat,Afghanistan,Asia
14395,29135,Oran,,Oran,Algeria,Africa
13601,2911,Algiers,,Algiers Province,Algeria,Africa
14264,4090,Al-Biar,,Algiers,Algeria,Africa
11420,5320,missing,,missing,Algeria,Africa
6552,3964,Strasbourg,,missing,Alsace,Europe
8638,5461,Eckwersheim,,missing,Alsace,Europe
15705,30479,Huanpeta,,missing,Angola,Africa
1311,728,Buenos Aires,,missing,Argentina,South America
2862,1645,Buenos Aires,,missing,Argentina,South America
4719,2807,Buenos Aires,,missing,Argentina,South America
6470,3913,Buenos Aires,,missing,Argentina,South America
11278,3845,Buenos Aires,,missing,Argentina,South America
14685,1182,Buenos Aires,,missing,Argentina,South America
14686,1182,Buenos Aires,,missing,Argentina,South America
6208,3762,missing,,missing,Argentina,South America
3246,1882,Khorkom Vari Haiyotz Dzore,,missing,Armenia,Asia
8723,5506,Harpoot,,missing,Armenia,Asia
10747,18267,missing,,missing,Armenia,Asia
4366,2580,missing,,missing,Atlantic Ocean Aggregation,Oceania
4650,2762,missing,,missing,Atlantic Ocean Aggregation,Oceania
10985,18501,Sydney,,New South Wales,Australia,Oceania
13602,2948,Creswick,,Victoria,Australia,Oceania
13603,2948,Sydney,,missing,Australia,Oceania
14290,4208,Melbourne,,missing,Australia,Oceania
11669,6077,Malden,,missing,Australia,Oceania
4886,2920,Castlemaine,,missing,Australia,Oceania
7142,4345,Bega,,missing,Australia,Oceania
4859,2900,Adelaide,,missing,Australia,Oceania
13705,1733,Adelaide,,missing,Australia,Oceania
15851,30627,missing,,missing,Australia,Oceania
12195,18661,Siegless,,Burgenland,Austria,Europe
3372,1960,Wolowa,,missing,Austria,Europe
11613,18185,Wiener Neustadt,,missing,Austria,Europe
746,404,Vienna,,missing,Austria,Europe
772,418,Vienna,,missing,Austria,Europe
800,432,Vienna,,missing,Austria,Europe
2769,1587,Vienna,,missing,Austria,Europe
3156,1827,Vienna,,missing,Austria,Europe
3485,2049,Vienna,,missing,Austria,Europe
4138,2448,Vienna,,missing,Austria,Europe
5189,3110,Vienna,,missing,Austria,Europe
5590,3366,Vienna,,missing,Austria,Europe
5805,3499,Vienna,,missing,Austria,Europe
6807,4128,Vienna,,missing,Austria,Europe
8412,5311,Vienna,,missing,Austria,Europe
8613,5440,Vienna,,missing,Austria,Europe
9098,5838,Vienna,,missing,Austria,Europe
9176,5898,Vienna,,missing,Austria,Europe
11550,27443,Vienna,,missing,Austria,Europe
11551,27443,Vienna,,missing,Austria,Europe
12398,27478,Vienna,,missing,Austria,Europe
12464,2554,Vienna,,missing,Austria,Europe
13710,1971,Vienna,,missing,Austria,Europe
13725,2562,Vienna,,missing,Austria,Europe
13726,2562,Vienna,,missing,Austria,Europe
14661,6795,Vienna,,missing,Austria,Europe
15180,6554,Vienna,,missing,Austria,Europe
15575,30257,Salzburg,,missing,Austria,Europe
15796,30471,Salzburg,,missing,Austria,Europe
13699,1372,Prelouc,,missing,Austria,Europe
3834,2263,Linz,,missing,Austria,Europe
15179,6554,Innsbruck,,missing,Austria,Europe
536,285,Haag,,missing,Austria,Europe
773,418,missing,,missing,Austria,Europe
4626,2747,missing,,missing,Austria,Europe
8160,5163,missing,,missing,Austria,Europe
10476,7364,missing,,missing,Austria,Europe
12201,1231,Prucisca,,Croatia,Austria-Hungary,Europe
12463,2554,Pettau,,Styria,Austria-Hungary,Europe
8369,5286,Zloczew,,missing,Austria-Hungary,Europe
5485,3293,Vrpolje,,missing,Austria-Hungary,Europe
8124,5136,Vienna,,missing,Austria-Hungary,Europe
15925,30761,Vienna,,missing,Austria-Hungary,Europe
9949,6743,Trhova Kamenice,,missing,Austria-Hungary,Europe
8111,5129,St. Thomas,,missing,Austria-Hungary,Europe
526,281,Sanok,,missing,Austria-Hungary,Europe
235,134,Radautz,,missing,Austria-Hungary,Europe
2787,1595,Meran,,missing,Austria-Hungary,Europe
8199,5186,Liska,,missing,Austria-Hungary,Europe
13666,5527,Linz,,missing,Austria-Hungary,Europe
4572,2715,Itzkany,,missing,Austria-Hungary,Europe
8043,4914,Guns,,missing,Austria-Hungary,Europe
6565,3971,Czernowitz,,missing,Austria-Hungary,Europe
4545,2693,Budapest,,missing,Austria-Hungary,Europe
16127,380,Cracow,,missing,Austro-Hungarian Empire,Europe
10293,7153,Fayal,,missing,Azores,Europe
8006,4895,Nassau,,missing,Bahamas,North America
