,Continent,Country,State,City
0,Asia,Afghanistan,Herat,Harat
1,Africa,Algeria,Oran,Oran
2,Africa,Algeria,Algiers Province,Algiers
3,Africa,Algeria,Algiers,Al-Biar
4,Africa,Algeria,missing,missing
5,Europe,Alsace,missing,Strasbourg
6,Europe,Alsace,missing,Eckwersheim
7,Africa,Angola,missing,Huanpeta
8,South America,Argentina,missing,Buenos Aires
9,South America,Argentina,missing,Buenos Aires
10,South America,Argentina,missing,Buenos Aires
11,South America,Argentina,missing,Buenos Aires
12,South America,Argentina,missing,Buenos Aires
13,South America,Argentina,missing,Buenos Aires
14,South America,Argentina,missing,Buenos Aires
15,South America,Argentina,missing,missing
16,Asia,Armenia,missing,Khorkom Vari Haiyotz Dzore
17,Asia,Armenia,missing,Harpoot
18,Asia,Armenia,missing,missing
19,Oceania,Atlantic Ocean Aggregation,missing,missing
20,Oceania,Atlantic Ocean Aggregation,missing,missing
21,Oceania,Australia,New South Wales,Sydney
22,Oceania,Australia,Victoria,Creswick
23,Oceania,Australia,missing,Sydney
24,Oceania,Australia,missing,Melbourne
25,Oceania,Australia,missing,Malden
26,Oceania,Australia,missing,Castlemaine
27,Oceania,Australia,missing,Bega
28,Oceania,Australia,missing,Adelaide
29,Oceania,Australia,missing,Adelaide
30,Oceania,Australia,missing,missing
31,Europe,Austria,Burgenland,Siegless
32,Europe,Austria,missing,Wolowa
33,Europe,Austria,missing,Wiener Neustadt
34,Europe,Austria,missing,Vienna
35,Europe,Austria,missing,Vienna
36,Europe,Austria,missing,Vienna
37,Europe,Austria,missing,Vienna
38,Europe,Austria,missing,Vienna
39,Europe,Austria,missing,Vienna
40,Europe,Austria,missing,Vienna
41,Europe,Austria,missing,Vienna
42,Europe,Austria,missing,Vienna
43,Europe,Austria,missing,Vienna
44,Europe,Austria,missing,Vienna
45,Europe,Austria,missing,Vienna
46,Europe,Austria,missing,Vienna
47,Europe,Austria,missing,Vienna
48,Europe,Austria,missing,Vienna
49,Europe,Austria,missing,Vienna
50,Europe,Austria,missing,Vienna
51,Europe,Austria,missing,Vienna
52,Europe,Austria,missing,Vienna
53,Europe,Austria,missing,Vienna
54,Europe,Austria,missing,Vienna
55,Europe,Austria,missing,Vienna
56,Europe,Austria,missing,Vienna
57,Europe,Austria,missing,Vienna
58,Europe,Austria,missing,Salzburg
59,Europe,Austria,missing,Salzburg
60,Europe,Austria,missing,Prelouc
61,Europe,Austria,missing,Linz
62,Europe,Austria,missing,Innsbruck
63,Europe,Austria,missing,Haag
64,Europe,Austria,missing,missing
65,Europe,Austria,missing,missing
66,Europe,Austria,missing,missing
67,Europe,Austria,missing,missing
68,Europe,Austria-Hungary,Croatia,Prucisca
69,Europe,Austria-Hungary,Styria,Pettau
70,Europe,Austria-Hungary,missing,Zloczew
71,Europe,Austria-Hungary,missing,Vrpolje
